DEPTH	RHOZ	AT60	DPHZ	CALI	RXOZ	ATD2	IHV	RSOZ	CNTC	AT20	ATCO90	GR	FCD	SMNO	HDRA	RVSRU	RXV	NPOR	AT10	AT30	AT90	ATD1	SP	RWA	BS	ICV	SMIN	RSP	DSOZ	PEFZ	RVDRU	RVV	RXRU	CFTC	NPHI	TNPH	
[m MD]	[Unknown]	[Ohm.m]	[Unknown]	[Unknown]	[Unknown]	[Unknown]	[Unknown]	[Unknown]	[Unknown]	[Ohm.m]	[Unknown]	[Unknown]	[Unknown]	[Unknown]	[Unknown]	[Unknown]	[Unknown]	[Unknown]	[Ohm.m]	[Ohm.m]	[Ohm.m]	[Unknown]	[mV]	[Ohm.m]	[in]	[Unknown]	[Unknown]	[Unknown]	[Unknown]	[Unknown]	[Unknown]	[Unknown]	[Unknown]	[Unknown]	[Unknown]	[Unknown]	
385,72	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	75,46924	-999.25	-999.25	-999.25	-999.25	-999.25	5,5	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	13,5	46,019	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	
385,88	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	75,46924	-999.25	-999.25	-999.25	-999.25	-999.25	5,5	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	13,5	46,019	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	
386,03	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	75,46924	-999.25	-999.25	-999.25	-999.25	-999.25	5,5	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	13,5	46,019	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	
386,18	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	75,46924	-999.25	-999.25	-999.25	-999.25	-999.25	5,5	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	13,5	46,019	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	
386,33	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	75,46924	-999.25	-999.25	-999.25	-999.25	-999.25	5,5	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	13,5	46,019	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	
386,49	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	75,46924	-999.25	-999.25	-999.25	-999.25	-999.25	5,5	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	13,5	46,019	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	
386,64	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	75,46924	-999.25	-999.25	-999.25	-999.25	-999.25	5,5	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	13,5	46,019	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	
386,79	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	75,46924	-999.25	-999.25	-999.25	-999.25	-999.25	5,5	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	13,5	46,019	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	
386,94	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	75,46924	-999.25	-999.25	-999.25	-999.25	-999.25	5,5	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	13,5	46,019	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	
