IDENTIFICADOR	CAPA	X	Y	TOPE_DE_CAPA	BASE_DE_CAPA
		[m]	[m]	[m MD]	[m MD]

PR-1221	Mkr_C	2556471	4920431	1910.30	2037.70
PR-1221	K3	2556470	4920431	1913.60	1921.50
PR-1221	K4	2556470	4920431	1924.80	1931.50
PR-1221	K5	2556469	4920431	1949.10	1959.30
PR-1221	K6	2556469	4920430	1967.60	1976.70
PR-1221	K7	2556468	4920430	1983.10	1988.80
PR-1221	K9	2556468	4920429	2021.20	2030.20
PR-1221	Mkr_K	2556467	4920429	2037.70	2194.10
PR-1221	L1	2556467	4920428	2049.80	2056.40
PR-1221	L1A	2556467	4920428	2058.10	2064.00
PR-1221	L1B	2556467	4920428	2065.70	2080.00
PR-1221	L1E	2556466	4920428	2086.40	2097.10
PR-1221	L2	2556466	4920427	2111.40	2119.00
PR-1221	L3AC	2556465	4920427	2123.80	2129.00
PR-1221	L3B	2556465	4920427	2130.20	2139.70
PR-1221	L4	2556465	4920427	2141.40	2156.60
PR-1221	L4F	2556464	4920426	2167.60	2175.60
PR-1221	L5	2556464	4920426	2184.90	2193.30
PR-1221	Mkr_L2	2556464	4920426	2194.10	2316.20
PR-1221	L5A	2556464	4920426	2195.90	2201.30
PR-1221	L5D	2556464	4920426	2211.60	2218.70
PR-1221	L5E	2556463	4920426	2220.40	2224.90
PR-1221	L5F	2556463	4920426	2226.20	2231.70
PR-1221	M3	2556463	4920425	2240.40	2248.70
PR-1221	M4	2556463	4920425	2254.30	2267.90
PR-1221	M5	2556462	4920425	2295.50	2301.70
PR-1221	M6	2556462	4920424	2308.60	2315.00
PR-1221	Mkr_M7	2556462	4920424	2316.20	2497.60
PR-1221	M7	2556462	4920424	2317.60	2326.40
PR-1221	M7AB	2556462	4920424	2327.40	2335.90
PR-1221	M8	2556461	4920424	2337.30	2344.50
PR-1221	O1B	2556461	4920424	2362.60	2373.80
PR-1221	O3B	2556461	4920423	2384.90	2391.60
PR-1221	O4	2556461	4920423	2395.20	2408.30
PR-1221	P1	2556460	4920423	2429.20	2437.00
PR-1221	P1B	2556460	4920423	2438.90	2444.40
PR-1221	P2	2556460	4920422	2445.00	2454.20
PR-1221	P3	2556460	4920422	2456.90	2468.80
PR-1221	P4	2556459	4920422	2469.80	2475.20
PR-1221	P6	2556459	4920422	2478.70	2484.40
PR-1221	Mkr_P	2556459	4920422	2497.60	2806.60
PR-1221	R1	2556459	4920422	2502.00	2508.70
PR-1221	R2	2556459	4920421	2538.20	2549.20
PR-1221	R4	2556458	4920420	2587.70	2596.50
PR-1221	R5	2556458	4920420	2598.50	2611.30
PR-1221	R8A	2556458	4920419	2659.70	2667.90
PR-1221	R8C	2556458	4920419	2676.60	2684.50
PR-1221	S1	2556457	4920418	2714.30	2725.60
PR-1221	S2	2556457	4920417	2752.50	2759.60
PR-1221	S4	2556457	4920417	2771.90	2783.20
PR-1221	Top-MEC-C	2556456	4920416	2806.60	3050.00
PR-1221	T1	2556456	4920416	2810.90	2821.30
PR-1221	T1A	2556456	4920416	2833.20	2839.30
PR-1221	T2	2556455	4920414	2897.70	2909.60
PR-1221	T3	2556455	4920414	2973.10	2978.60
PR-1221	T4	2556455	4920413	2980.90	2985.10
PR-1221	T5	2556455	4920413	2994.90	3000.10
PR-1221	T8	2556455	4920413	3018.30	3024.40
PR-1221	fbs_xp	2556455	4920414	2920.52	
