IDENTIFICADOR	CAPA	X	Y	TOPE_DE_CAPA	BASE_DE_CAPA
		[m]	[m]	[m MD]	[m MD]
PR.xp-1066	Mkr_C	2555930	4920390	1903.70	2028.90
PR.xp-1066	K3	2555930	4920390	1906.80	1913.90
PR.xp-1066	K4	2555930	4920390	1918.00	1924.10
PR.xp-1066	K5	2555930	4920390	1940.30	1951.20
PR.xp-1066	K6	2555930	4920390	1960.10	1969.00
PR.xp-1066	K7	2555930	4920390	1975.40	1981.10
PR.xp-1066	K8	2555930	4920390	1992.00	1999.80
PR.xp-1066	K9	2555930	4920390	2012.70	2021.30
PR.xp-1066	Mkr_K	2555930	4920390	2028.90	2181.60
PR.xp-1066	L1	2555930	4920390	2040.70	2047.20
PR.xp-1066	L1A	2555930	4920390	2049.00	2053.60
PR.xp-1066	L1B	2555930	4920390	2056.00	2070.70
PR.xp-1066	L1E	2555930	4920390	2076.70	2087.30
PR.xp-1066	L2	2555930	4920390	2101.20	2110.00
PR.xp-1066	L3AC	2555930	4920390	2114.00	2119.50
PR.xp-1066	L3B	2555930	4920390	2121.10	2132.90
PR.xp-1066	L4	2555930	4920390	2135.40	2146.60
PR.xp-1066	L4F	2555930	4920390	2155.80	2163.40
PR.xp-1066	L5	2555930	4920390	2172.70	2180.90
PR.xp-1066	Mkr_L2	2555930	4920390	2181.60	2306.20
PR.xp-1066	L5A	2555930	4920390	2183.50	2189.00
PR.xp-1066	L5D	2555930	4920390	2199.50	2208.50
PR.xp-1066	L5E	2555930	4920390	2209.90	2213.90
PR.xp-1066	L5F	2555930	4920390	2215.20	2221.10
PR.xp-1066	M3	2555930	4920390	2230.40	2238.70
PR.xp-1066	M4	2555930	4920390	2245.70	2258.80
PR.xp-1066	M4B	2555930	4920390	2271.30	2275.10
PR.xp-1066	M5	2555930	4920390	2285.50	2292.50
PR.xp-1066	M6	2555930	4920390	2299.20	2305.90
PR.xp-1066	Mkr_M7	2555930	4920390	2306.20	2492.70
PR.xp-1066	M7	2555930	4920390	2309.10	2316.40
PR.xp-1066	M7AB	2555930	4920390	2317.70	2327.60
PR.xp-1066	M8	2555930	4920390	2328.90	2338.10
PR.xp-1066	O1B	2555930	4920390	2356.30	2367.50
PR.xp-1066	O3B	2555930	4920390	2377.00	2384.70
PR.xp-1066	O4	2555930	4920390	2388.80	2401.60
PR.xp-1066	P1	2555930	4920390	2422.30	2429.00
PR.xp-1066	P1B	2555930	4920390	2430.00	2435.10
PR.xp-1066	P2	2555930	4920390	2437.10	2446.20
PR.xp-1066	P3	2555930	4920390	2447.70	2462.10
PR.xp-1066	P4	2555930	4920390	2463.10	2467.60
PR.xp-1066	P6	2555930	4920390	2473.00	2479.00
PR.xp-1066	Mkr_P	2555930	4920390	2492.70	2804.60
PR.xp-1066	R1	2555930	4920390	2496.50	2503.20
PR.xp-1066	R2	2555930	4920390	2532.60	2543.40
PR.xp-1066	R4	2555930	4920390	2582.90	2592.80
PR.xp-1066	R5	2555930	4920390	2594.70	2604.10
PR.xp-1066	R8	2555930	4920390	2645.30	2653.80
PR.xp-1066	R8A	2555930	4920390	2657.20	2665.20
PR.xp-1066	R8C	2555930	4920390	2672.80	2681.40
PR.xp-1066	S1	2555930	4920390	2711.40	2722.90
PR.xp-1066	S2	2555930	4920390	2751.20	2757.30
PR.xp-1066	S3	2555930	4920390	2759.20	2764.30
PR.xp-1066	S4	2555930	4920390	2769.70	2781.20
PR.xp-1066	Top-MEC-C	2555930	4920390	2804.60	3084.00
PR.xp-1066	T1	2555930	4920390	2808.80	2819.20
PR.xp-1066	T2	2555930	4920390	2883.50	2896.00
PR.xp-1066	T3	2555930	4920390	2970.20	2975.60
PR.xp-1066	T4	2555930	4920390	2977.60	2981.70
PR.xp-1066	T6	2555930	4920390	3002.20	3007.40
PR.xp-1066	T8	2555930	4920390	3016.60	3022.70
PR.xp-1066	fbs_xp	2555930	4920390	2820.72	
PR-1221	Mkr_C	2556471	4920431	1910.30	2037.70
PR-1221	K3	2556470	4920431	1913.60	1921.50
PR-1221	K4	2556470	4920431	1924.80	1931.50
PR-1221	K5	2556469	4920431	1949.10	1959.30
PR-1221	K6	2556469	4920430	1967.60	1976.70
PR-1221	K7	2556468	4920430	1983.10	1988.80
PR-1221	K9	2556468	4920429	2021.20	2030.20
PR-1221	Mkr_K	2556467	4920429	2037.70	2194.10
PR-1221	L1	2556467	4920428	2049.80	2056.40
PR-1221	L1A	2556467	4920428	2058.10	2064.00
PR-1221	L1B	2556467	4920428	2065.70	2080.00
PR-1221	L1E	2556466	4920428	2086.40	2097.10
PR-1221	L2	2556466	4920427	2111.40	2119.00
PR-1221	L3AC	2556465	4920427	2123.80	2129.00
